Имя пользователя,Ссылка,Время,Текст,Хэштеги
MACNOOB.RU,@macnoobru,5 мар. 2020 г.,Любой #Mac может помочь учёным побороть #коронавирус #COVID19. Достаточно установить приложение и дать ему часть вычислительной мощности компьютера.,#covid #covid19 #коронавирус
Saidjan Pulatov,@linkin_94,5 мар. 2020 г.,бороться с Коронавирусом  ,
Ilya Muradzade,@IMuradzade,5 мар. 2020 г.,"#коронавирус #Россия ""ОРВИ"" #COVID19 ",#covid #covid19 #коронавирус
ZdravMedInfo,@ZdravMedInfo,5 мар. 2020 г.,В Китае одобрили тоцилизумаб для лечения осложнений COVID-19 http://zdravmedinfo.com/pharmnews.html?article=133248… #новости #фармация,
Asteroid Belt,@Aster0id_Be1t,5 мар. 2020 г.,"Поставщики еды для школ Японии попали под удар из-за антикоронавирусных мер. Школы закрылись на месяц. заказов, соответственно нет. А в сельской местности для малого бизнеса школы - важный клиент.",
Sergey G. Akatoff,@sakatoff,5 мар. 2020 г.,"Возможных распространителей фейков о коронавирусе задержали в МосквеВ Москве задержали несколько человек, которые, возможно, распространяли ложные сообщения об эпидемии вируса COVID-19 в российской столице. В отношении них проходит доследственн...",
Интерфакс-Украина,@interfaxua,5 мар. 2020 г.,У жены инфицированного коронавирусом жителя Черновцов признаков заболевания нет - ОГА,
Jenkers News (RUS),@jenkers_ru,5 мар. 2020 г.,Российские работодатели занялись профилактикой против #коронавирус'а http://jenke.rs/Uw9e8W,#коронавирус
Sergy,@SPodopryhora,5 мар. 2020 г.,9 новых заболевших COVID-19 в Алжире,
Jenkers News (RUS),@jenkers_ru,5 мар. 2020 г.,#Нетаньяху призвал отказаться от рукопожатий из-за #коронавирус'а http://jenke.rs/Hi8q3N,#коронавирус
iLikeGreen,@AntonBoym,5 мар. 2020 г.,В Иране масштабная  вспышка #коронавирус - а на полках в Москве продолжают продавать сыры  и продукты из этой страны ...,#коронавирус
Коммерсантъ,@kommersant,5 мар. 2020 г.,"4 марта президент России Владимир Путин на встрече в Ново-Огарево с членами правительства поделился очередной неприятной правдой о коронавирусе COVID-19. Он идет к нам из-за рубежа не только как инфекция, но и как фейк.",
Гурьянов Сергей,@Segozavr,5 мар. 2020 г.,"Количество новых подтвержденных случаев заражения вирусом COVID-19, выявленных за сутки.",
Aleksandr Maltsev,@maltsevaleks,5 мар. 2020 г.,начал писать книги про #коронавирус до того как это стало мейнстримом #coronavirus #COVID19 #SARSCoV2 #мечта_архитектора,#covid #covid19 #коронавирус
ATinform: новости,@atinform,5 мар. 2020 г.,У европейского чиновника обнаружили коронавирус #европа #чиновник #коронавирус https://atinform.com/news/u_evropejskogo_chinovnika_obnaruzhili_koronavirus/2020-03-04-4534…,#коронавирус
Константин Муренков,@KGMurenkov,5 мар. 2020 г.,"...Транспорт прекратит работу, выехать или въехать в город будет нельзя даже на личном транспорте. Введут комендантский час, а улицы будет патрулировать полиция и Росгвардия. Нарушителей противоэпидимиологического режима будут задерживать, - Ведомости. #Коронавирус",#коронавирус
DW на русском,@dw_russian,5 мар. 2020 г.,"В правительстве Ирана несколько человек заражены коронавирусом, один скончался. По неподтвержденной информации, с симптомами COVID-19 госпитализирован первый вице-президент Ирана Эсхак Джахангири",
presshub_ru,@presshubeu,5 мар. 2020 г.,covid 19  [interfax] Число умерших после заражения  #Covid-19 в  #Италии превысило 100 человек,#covid #covid-19
DREP_Russia,@DrepRussia,5 мар. 2020 г.,В то время как #COVID_19 вспыхивает в #Корее и #Италии. Недостаток медицинских ресурсов является очень актуальной проблемой,#covid
KupetZ,@kupets23,5 мар. 2020 г.,В ответ ,
МариАйс,@ice_mari12,5 мар. 2020 г.,"#масленица #мариайс Пейте #иванчай и никакой #коронавирус вам будет не страшен. Смотрите, как прошла масленица в #йошкарола ",#коронавирус
ФлУдИлКа и Ко,@fludperm,5 мар. 2020 г.,#госзакупки #коронавирус,#коронавирус
New Normalcy,@Normalcy_New,5 мар. 2020 г.,В Сбербанке предупредили о двух волнах коронавируса: весной и осенью. Также по их прогнозам в РФ все будет хорошо.  #Covid_19   #coronavirusoutbreak https://rbc.ru/society/04/03/2020/5e5f9dd89a7947b328a7de22… через ,#covid
Правда-ТВ.ru,@PACCBET,5 мар. 2020 г.,"Вакцина против коронавируса: что известно о создании на сегодня, что предпринимают врачи в России, США, Китае, Гонконге",
Business FM,@Radio_BFM,5 мар. 2020 г.,Twitter запретил связанную с коронавирусом рекламу,
«Столица С» Саранск,@stolica_s,5 мар. 2020 г.,"Вирусологи: детям COVID-19 не страшен, заболевает лишь 2% несовершеннолетних",
Флегонтов Александр,@flegontov19591,5 мар. 2020 г.,Карантинейджеры: почему COVID-19 крайне редко заражает детей - Новости - Дети http://Mail.ru https://deti.mail.ru/news/karantinejdzhery-pochemu-covid-19-krajne-redko-zar/?social=tw…,
SlavicSac,@SlavicSac,5 мар. 2020 г.,Два случая заражения вирусом COVID-19 зафиксировано в округе Плейсер https://slavicsac.com/2020/03/04/placer-county-coronavirus/… via ,
78 | НОВОСТИ,@good78news,5 мар. 2020 г.,"В общежитии СЗГМУ им. Мечникова на проспекте Просвещения проводятся противоэпидемические мероприятия, сообщил ректор вуза Сайганов Сергей. Причиной стал итальянский студент, у которого поднялась температура. Диагноз коронавирус пока не подтверждён.",
local,@R1313131313,5 мар. 2020 г.,"Беларусь головного мозга, [04.03.20 17:30]",
Южный Федеральный,@uf_ru,5 мар. 2020 г.,Симптомы коронавируса COVID-19 перечислила ВОЗ  http://u-f.ru/news/fashion/u19761/2020/03/04/295157…,
Vladyslav Mazur,@VladyslavMazur,5 мар. 2020 г.,Великобритания: авиакомпания Flybe (40% внутренних рейсов) запросила повторную поддержку налогоплательщиков - отказано #COVID,#covid
Стыд должен продолжаться,@Alianika,5 мар. 2020 г.,"""Заметка на полях: больше нет очередей перед туалетными кабинками, зато есть перед раковинами"" #коронавирус",#коронавирус
iLikeGreen,@AntonBoym,5 мар. 2020 г.,Вот они мировые #фейкньюс которые говорят что #коронавирус начал мутировать в более страшную болезнь  -> ,#коронавирус
Asteroid Belt,@Aster0id_Be1t,5 мар. 2020 г.,В Японии резко упало донорство крови из-за коронавируса.,
Интерфакс-Украина,@interfaxua,5 мар. 2020 г.,Премьеру последнего фильма о Джеймсе Бонде перенесли на ноябрь из-за коронавируса,
TANK T-34,@DeepSeaCaptain,5 мар. 2020 г.,Коронавброс: Россия борется с ложной информацией об эпидемии COVID-19,
Aiperim,@Aiperim,5 мар. 2020 г.,Прислали как способ борьбы с #коронавирус #COVID19 ,#covid #covid19 #коронавирус
s_a_nikolaevich,@s_a_nikolaevich,5 мар. 2020 г.,Все ещё офигеваю с украинского восприятия COVID-19:,
Evgen,@Evgeny_Jenkov,5 мар. 2020 г.,"Почему ОПЕК и Россия всё таки договорятся, читай в ссылке. ",
RuNews24.ru Новости,@runews24ru,5 мар. 2020 г.,Ученые заявили о мутации коронавируса из-за профилактики,
