Имя пользователя,Ссылка,Время,Текст,Хэштеги
AndreyKoshkin,@Andrey_Koshkin,21 мар. 2020 г.,Во истину!!!,
ZdravMedInfo,@ZdravMedInfo,21 мар. 2020 г.,Оперштаб Петербурга опроверг сообщения о смерти женщины от COVID-19 http://zdravmedinfo.com/mednews.html?article=135303… #новости #медицина,
Иван Александрович Балюк,@Uvfr61A8BIoQeuY,21 мар. 2020 г.,"Я обращаюсь к тем, кто не закупился туалетной бумагой и гречкой. Если Вы читаете это - Вы и есть сопротивление.",
Jenkers News (RUS),@jenkers_ru,21 мар. 2020 г.,Всероссийская федерация волейбола приостановила все соревнования из-за #коронавирус'а http://jenke.rs/j6D8Wh,#коронавирус
Малышка,@drako_pp,21 мар. 2020 г.,В Минспорте России работает оперативный штаб по ситуации с предотвращением распространения коронавируса COVID-19,
МК в Пскове,@MkPskov,21 мар. 2020 г.,Лаборатория Новосибирска ищет коронавирус в биоматериале трех псковичей,
Михаил Голубев,@golubev_mikhail,21 мар. 2020 г.,В Одессе пенсионерка избила водителя троллейбуса https://dumskaya.net/news/pensionerka-izbila-voditelya-trolleybusa-111067/…,
sololaki,@sololaki1,21 мар. 2020 г.,#Новости | В Украине резко выросло число зараженных COVID-19 https://sololaki.ru/novosti-ukrainy/novosti-v-ukraine-rezko-vyroslo-chislo-zarazhennyh-covid-19.html…,
Донецкие новости,@dnews_dn_ua,21 мар. 2020 г.,"В Украине по состоянию на 20:00 сегодня, 20 марта, подтверждены 29 случаев COVID-19.",
морскі овочі,@kuku_shechki,21 мар. 2020 г.,"Это нормально, что я хочу смотрет фильмы про апокалипсис ваще? #сижудома #самоизоляция #Covid_19 #коронавирус",#covid #коронавирус
asad asadas,@AsadAsad788,21 мар. 2020 г.,COVID-19 Донбасс. С заботой о животных / Коронавирус https://youtu.be/WAD97NrANws с помощью ,
Jenkers News (RUS),@jenkers_ru,21 мар. 2020 г.,#Шнуров написал стихотворение об ограничениях из-за #коронавирус'а http://jenke.rs/Iq7o1R,#коронавирус
Шарий.net,@sharijnet,21 мар. 2020 г.,МОЗ сообщило о ещё 10 подтверждённых случаях COVID-19 в Черновицкой области,
Кавказский Узел,@caucasianknot,21 мар. 2020 г.,Число зараженных коронавирусом в Грузии достигло 44.,
Жирные Новости,@JIRnews,21 мар. 2020 г.,"Новые данные из Европы и США показывают, что молодые люди не столь защищены от нового коронавируса, как первоначально предполагалось.",
Selvestor Vivat,@S_vivat,21 мар. 2020 г.,"Правительство Великобритании закрывает пабы, кафе, рестораны с вечера пятницы в борьбе с COVID-19 (коронавирус).",
expert.education,@expert_edu_ukr,21 мар. 2020 г.,"В лаборатории исследовательского института MIGAL в Кирьят-Шмоне на севере Израиля ведутся работы по созданию #вакцины против коронавируса #Covid19, адаптированного от другой для вируса инфекционного бронхита https://cnbc.com/2020/03/20/who-officials-say-at-least-20-coronavirus-vaccines-are-in-development-in-global-race-for-cure.html…",#covid #covid19
ZdravMedInfo,@ZdravMedInfo,21 мар. 2020 г.,В Ставрополе рассказали о состоянии врача с подозрением на COVID-19 http://zdravmedinfo.com/mednews.html?article=135354… #новости #медицина,
Zevs,@Zevsis_ru,21 мар. 2020 г.,"#COVID19 #коронавирус не страшен, если вы умны, аккуратны и осторожны, как Ильич.",#covid #covid19 #коронавирус
Cобытия дня в России,@smnewsru,21 мар. 2020 г.,"Британский премьер посоветовал людям оставаться дома, чтобы победить #коронавирус",#коронавирус
Simply_Stranger,@Own_Cough_Syrup,21 мар. 2020 г.,"Преподы решили оторваться на нас и шлют нам кучу д з и лекции на 30 стр, и за сегодня 3жды спросили все ли здоровы (кек, я просто сижу и не высовываюсь) и все ли чет делают по учебе....",
ИА REGNUM,@IA_REGNUM,21 мар. 2020 г.,"Во Франции заявили о 12,5 тыс. заражённых коронавирусом COVID-19 https://regnum.ru/news/2891143",
Kvasida,@kvasida,21 мар. 2020 г.,Тяжелые цифры из Италии. Всего от COVID-19 за один день в мире погибли более 1000 человек.,
Артем,@LHAWZzbwfHH2G3M,21 мар. 2020 г.,39 человек заражено ,
ЗОЯ ПОТАПОВА,@zoya0071,21 мар. 2020 г.,COVID-19: новая пневмония https://doc.rt.com/filmy/covid-19-novaya-pnevmoniya/#.XnUj0-Tr7Vs.twitter…,
Газета.Ru,@GazetaRu,21 мар. 2020 г.,,
DroidOff,@dro1d_off,21 мар. 2020 г.,Не больше двух в одни руки: Apple ограничивает продажи iPhone,
the running duckling,@RunDuckling,21 мар. 2020 г.,Германия COVID 19,
ATO.ru,@ATO_ru,21 мар. 2020 г.,"""Аэрофлот"" законсервирует часть авиапарка из-за пандемии COVID-19. Авиакомпания отправит на временное хранение самолеты всех типов за исключением Airbus A350 #COVID19 ",#covid #covid19
@Vano758,@Vano758,21 мар. 2020 г.,Война на уничтожение #ВалентинКатасонов #Кризис #Коронавирус #Карантин https://youtu.be/YLdfSR92H9s с помощью ,#коронавирус
RuNews24.ru Новости,@runews24ru,21 мар. 2020 г.,В России из-за коронавируса могут подорожать автомобили,
DW на русском,@dw_russian,21 мар. 2020 г.,Тяжелые цифры из Италии. Всего от COVID-19 за один день в мире погибли более 1000 человек.,
nuainua,@nuainuanuainua,21 мар. 2020 г.,Состоянием на 22:00 20 марта в Украине подтверждено 39 случаев COVID-19,
Slava Makaroff,@slavamakarov,21 мар. 2020 г.,"Приложение для информирования медицинских служб о симптомах covid-19, если они у вас не дай бог возникнут, сделанное Каталонской служдой здоровья, для жителей Каталонии:",
MIGnews,@mignewsfeed,21 мар. 2020 г.,В России начали испытания вакцины от COVID-19:,
EngineerServiceUA,@EngineerServUA,21 мар. 2020 г.,"«Невозможно!» — это ключевое слово в заявлении Гордона Смита, президента и CEO NAB, по поводу проведения выставки #NABShow в 2020м году.  ",
Сергей Ефремов,@sergei1967tvit,21 мар. 2020 г.,COVID-19 это лабораторная сборка,
ANDRYULIK,@Andryulik,21 мар. 2020 г.,Украина 21.03.2020 ,
Slava Makaroff,@slavamakarov,21 мар. 2020 г.,"Летевших рейсом SU-2514 Барселона – Москва 15.03.2020, просят позвонить по телефону 103 (в России), так как на борту этого рейса были люди, инфицированные #covid19",#covid #covid19
Москва-ТуТ,@moskva_ru,21 мар. 2020 г.,"В Подмосковье установили размер выплат медикам, работающим с COVID-19: Выплаты стимулирующего характера за счёт средств бюджета Московской... https://bit.ly/2UkZ1wy",
Интерфакс-Украина,@interfaxua,21 мар. 2020 г.,"Львовянин, у которого обнаружили коронавирус, не нуждается в госпитализации",
Мир 24,@Mir24TV,21 мар. 2020 г.,Разрабатываемая ФМБА вакцина от коронавируса нового типа может быть готова уже через 11 месяцев. Об этом сообщила руководитель агентства Вероника Скворцова #новость #коронавирус #вакцина #ФМБА,#коронавирус
ZdravMedInfo,@ZdravMedInfo,21 мар. 2020 г.,"Как понять, что COVID-19 переходит в тяжелую стадию? http://zdravmedinfo.com/mednews.html?article=135270… #новости #медицина",
ОКО ПЛАНЕТЫ,@oko_planet_su,21 мар. 2020 г.,"Вечер с Владимиром Соловьевым от 20.03.2020 0:13 - ""Поводов для паники нет"": Мишустин о коронавирусе COVID-19 3:47 - Российские ученые расшифровали полный геном коронавируса Роспотребнадзор сообщил о начале испытания прототипов вакцины против нового кор...",
ЦЕТ | CET,@CET_groupe,21 мар. 2020 г.,"Андрей Егоров: Люди понимают, кто в Беларуси несет всю полноту ответственности за ситуацию в экономике: https://cet.eurobelarus.info/ru/news/2020/03/20/andrey-egorov-lyudi-ponimayut-kto-v-belarusi-neset-vsyu-polnotu.html…",
Сергей Харьков,@serobga,21 мар. 2020 г.,"Харьковчанка, инфицированная COVID-19, находится в Киеве и проходить лечение будет там, в Харькове не находилась ни одного дня после приезда из Франции, где она заразилась",
«КарауловLIFE» - портал Андрея Караулова,@karaulov_life,21 мар. 2020 г.,"Генпрокуратура начала принимать меры к СМИ, публикующим фейки о COVID-19",
Финансовое обозрение,@finoboz,21 мар. 2020 г.,WhatsApp создаст специальный чат-бот для информирования о COVID-19 - https://finoboz.net/technology/whatsapp-sozdast-specialnyj-chat-bot-dlya-informirovaniya-o-covid-19/… #финансы #Украина #бизнес,
Интерфакс,@interfax_news,21 мар. 2020 г.,Росавиация поделилась планами по эвакуации россиян из стран с эпидемией COVID-19 http://amp.gs/0P1Q,
Мир 24,@Mir24TV,21 мар. 2020 г.,"В Киеве, в Днепропетровской и Ивано-Франковской областях Украины введен режим чрезвычайной ситуации #новость #коронавирус #Украина #ЧС  https://mir24.tv/news/16402539/v-stolice-i-dvuh-oblastyah-ukrainy-iz-zakoronavirusa-vveden-rezhim-chs?hot=1…",#коронавирус
Dnipro. Добрий вечір! Ми з України! Дніпро,@monelka,21 мар. 2020 г.,В Португалии количество заболевших превысило тысячу (рост +235 за сутки). #coronavirus #коронавирус #коронавірус,#коронавирус
JKs,@jk_dec97,21 мар. 2020 г.,"Уровень поддержки на высоте, обожаю  #Covid_19",#covid
N.M,@Nurs_Ken,21 мар. 2020 г.,В общем.,
covid-19,@bujhtdvx,21 мар. 2020 г.,https://coronavirus-covid-19-monitoring.ru/#news Реальное время В России могут приостановить систему «Платон»  #короновирус #covid-19,#covid #covid-19
Мир 24,@Mir24TV,21 мар. 2020 г.,"Пример Китая позволяет верить в победу над коронавирусом. «Солидарность – это ключ к победе над заболеванием COVID-19""», – уверен гендиректор ВОЗ",
♞Сурoвый Toмск,@Tomsk_Loud_News,21 мар. 2020 г.,Балконный концерт на карантине в Испании:,
tole,@ld_tole,21 мар. 2020 г.,Швеция отказалась от борьбы с коронавирусом COVID-19: “Этот вирус людям не угрожает!”,
Cобытия дня в России,@smnewsru,21 мар. 2020 г.,Число пассажиров Мосгортранса сократилось на четверть,
Rig Sec,@Rigsector,21 мар. 2020 г.,Временно безработные в следствии  #коронавирус получат 150€ дополнительно в этом месяце. Бельгия.,#коронавирус
ксю чем,@nikksu1,21 мар. 2020 г.,"""Реальных заболевших в сотни раз больше"", - глава EUROLAB о тайных разносчиках COVID-19 в Украине - https://dialog.ua/ukraine/203571_1584732713?utm_campaign=%D0%94%D0%B8%D0%B0%D0%BB%D0%BE%D0%B3.UA&utm_medium=twitter&utm_source=socialnetwork… via @Диалог.UA",
Салатанова Татьяна,@SalatanovaT,21 мар. 2020 г.,Необходим экстренный карантин! #Пандемия2020 #Карантин #Коронавирус #Вер... https://youtu.be/l7bTnd2cAhg с помощью ,#коронавирус #пандемия
Triginta Unum,@TrigintaUnum,21 мар. 2020 г.,В Украине уже 29 заболевших COVID-19 https://ostannipodii.com/0/FBdPnbt,
ostannipodiiru,@ostannipodiiru,21 мар. 2020 г.,В Украине уже 29 заболевших COVID-19 https://ostannipodii.com/0/FBdPnbt,
78 | НОВОСТИ,@good78news,21 мар. 2020 г.,Магия «От коронавируса»: как петербуржцы и фармкомпании наживаются на пандемии? https://78.ru/articles/2020-03-20/magiya_ot_koronavirusa_kak_peterburzhci_i_farmkompanii_nazhivayutsya_na_viruse…,
училка феечка винкс,@teacherrka,21 мар. 2020 г.,"Даже в Сан-Диего знают больше, чем мы #коронавирус",#коронавирус
Интерфакс-Украина,@interfaxua,21 мар. 2020 г.,"Харьковчанка, инфицированная COVID-19, находится в Киеве и проходить лечение будет там",
Новости Воронежа - novostivoronezha.ru,@novostivrn,21 мар. 2020 г.,"Александр Гусев: Ограничения по массовым мероприятиям в Воронежской области — это запрет, а не рекомендации ",
Мир 24,@Mir24TV,21 мар. 2020 г.,"Все пансионаты и гостевые дома Иссык-Кульской области Кыргызстана, которая далека от очагов заражения коронавирусом , закроют на карантин #новость #Кыргызстан #коронавирус #меры https://mir24.tv/news/16402533/iz-za-covid-19-ogranichitelnye-mery-deistvuyut-vo-vseh-oblastyah-kyrgyzstana?hot=1…",#коронавирус
MEDQUEEN,@MedqueenCom,21 мар. 2020 г.,"Последние часы нашего коллеги, иранского Доктора Ширин Рухани-Рад (Тегеран), которая умерла от COVID-19. До последних часов своей жизни она оставалась с пациентами и пыталась им помочь, даже когда была подключена к системе.",
Vadim Kolyada,@Vadimkomp,21 мар. 2020 г.,Компания Biomedomics создала экспресс-тест для диагностики коронавируса #Biomedomics #экспресстест #диагностика #коронавирус #инфекция #антитела #Америка #Китай #Япония #Италия #Европа http://irvispress.ru/novelty/biomedomics-created-a-rapid-test-for-coronavirus/…,#коронавирус
Vadim Kolyada,@Vadimkomp,21 мар. 2020 г.,Российско-японский экспресс-тест на коронавирус может появиться в апреле #экспресстест #коронавирус #роспотребнадзор #инфекция #диагностика #SmartAmp #россия #япония http://irvispress.ru/novelty/russian-japanese-test-for-the-coronavirus-can-appear-in-april/…,#коронавирус
V.Schneider,@VSchneider1,21 мар. 2020 г.,Практически также ПУ перевёл всю ответсвенность за эпидемию на Собянина и Мишустина. Сам даже 10 мин https://neuezeiten.livejournal.com/9163802.html?utm_source=twsharing&utm_medium=social… #нефть #эскалация #всепротивубийцыпутина #Саудиты #эрдоган #ДураТерешкова #упадокРоссии #коронавирус #свергнутьворапутина #сечинвор #ГдеДеньги,#коронавирус
Accent TV,@accent_tv,21 мар. 2020 г.,Ещё 17 случаев COVID-19 http://a-tv.md/index.php?newsid=78305…,
Jenkers News (RUS),@jenkers_ru,21 мар. 2020 г.,СМИ: Сенатор в США заранее знал об эпидемии #коронавирус'а и нажился на акциях http://jenke.rs/d4PJi5,#коронавирус
RUAinform: новости,@ruainform,21 мар. 2020 г.,Италия обновила рекорд по смертности от COVID-19 #италия #рекорд #смертность,
Хайп,@maestroST_,21 мар. 2020 г.,СРОЧНО. Италия бьет смертельные рекорды с COVID-19 — ситуация вышла из-под контроля — 627 человек в сутки https://bison-info.pro/srochno-italiya-bet-smertelnye-rekordy-s-covid-19-situatsiya-vyshla-iz-pod-kontrolya-627-chelovek5455-v-sutki/…,
сЁмга в полЁте,@artzeolik,21 мар. 2020 г.,Сегодня стою жду подругу у магазина... И просто немного понаблюдала за людьми...,
Вивас,@igorchtoblin,21 мар. 2020 г.,Их может легко объединить covid-19:,
Jenkers News (RUS),@jenkers_ru,21 мар. 2020 г.,Ученые: #коронавирус не влияет на репродуктивную функцию у мужчин http://jenke.rs/m6JLd5,#коронавирус
Остап Михайловский,@OstapMih,21 мар. 2020 г.,"Правительство Украины разрешило закупку без тендеров товаров, работ и услуг для борьбы с COVID-19 http://dlvr.it/RSGQ1B",
Телеканал 360°,@360tv,21 мар. 2020 г.,"Российские ученые работают над тремя прототипами вакцины против нового коронавируса. Но победа над COVID-19 на так близко, как кажется. Препарат должен пройти клинические испытания, к тому же сам вирус может мутировать. А потом вакцину нужно распространить:http://social.360tv.ru/0Pzf",
Диалог.UA,@Dialog_UA,21 мар. 2020 г.,"""Реальных заболевших в сотни раз больше"", - глава EUROLAB о тайных разносчиках COVID-19 в Украине   https://dialog.ua/ukraine/203571_1584732713…",
Олег Власов,@cfihks2000,21 мар. 2020 г.,Сбербанк запустил горячую линию по вопросам работы бизнеса на фоне COVID-19,
Руслан Удивляет,@ruslan_gumiroff,21 мар. 2020 г.,"Я вот например больше рис люблю. Его все так же много в магазинах, или рис не обладает магией гречи? #Covid_19 #COVID19",#covid #covid19
Random,@RMKPZ,21 мар. 2020 г.,Коронавирус в Украине 20 марта. Пенсионеры не боятся COVID-19  #УКРАИНА,
ООН,@UnitedNationsRU,21 мар. 2020 г.,Ситуация с COVID-19 в Европейском регионе ВОЗ на 20 марта.,
Влад Погорелый,@vlad_ukrop,21 мар. 2020 г.,"Коронавирус может жить в воздухе несколько часов, а на поверхности — несколько дней: учёные",
♞Сурoвый Toмск,@Tomsk_Loud_News,21 мар. 2020 г.,Гениальное на тему #коронавирус #2019nCoV,#коронавирус
Руслан Удивляет,@ruslan_gumiroff,21 мар. 2020 г.,"А почему такой ажиотаж только около гречки, подскажите плз?",
Sköll,@Skoll__wolf,21 мар. 2020 г.,Коронавирус ? #COVID19,#covid #covid19
Naspravdi,@_Naspravdi_,21 мар. 2020 г.,Коронавирус в Украине. 29 заболевших и трое погибших. Обновляется,
Александр Федоров,@Fedos77,21 мар. 2020 г.,"Пока без паники, но думать надо!",
ATinform: новости,@atinform,21 мар. 2020 г.,Минздрав обещает масштабные проверки на COVID-19 #минздрав #проверки #covid_19,#covid
Росбалт,@rosbaltru,21 мар. 2020 г.,,
Adam Arutyunov,@adam_arutyunov,21 мар. 2020 г.,"Кстати, вот вам небольшой ликбез. Часто термином COVID-19 называют сам вирус, а на самом деле это именно название болезни, который вызывает вирус SARS-CoV-2. То есть, сказать ""я болею COVID-19"" можно, а ""смерть от вируса COVID-19"" — нельзя",
Jenkers News (RUS),@jenkers_ru,21 мар. 2020 г.,"Что говорят легионеры КХЛ, покинувшие Россию из-за #коронавирус'а http://jenke.rs/Oi0k5I",#коронавирус
ДКР,@dkr_mos,21 мар. 2020 г.,Петр Бирюков: перевод части коммунальщиков на удаленную работу не повлияет на жизнь москвичей.,
Sergey Kashin,@sergeykashin,21 мар. 2020 г.,"2) «...Грипп имеет более короткий инкубационный период и серийный интервал (время между последовательными случаями) — три дня. Для COVID-19 этот период составляет пять-шесть дней. Это означает, что грипп распространяется быстрее коронавируса...»",
"У меня есть имя, но друзья зовут меня посудомойка",@I_love_dengi05,21 мар. 2020 г.,"Тупо жиза, со сложившейся ситуацией я видимо ещё и умру одинокой, ну да ладно, у меня есть сериалы #Covid_19",#covid
Topmember,@Topmember,21 мар. 2020 г.,"Биолог СПбГУ рассказал, так ли опасен коронавирус и почему COVID-19 рано или поздно переболеет вся планета - Санкт-Петербургский государственный университет https://spbu.ru/news-events/novosti/biolog-spbgu-rasskazal-tak-li-opasen-koronavirus-i-pochemu-covid-19-rano-ili…",
Business Mir,@Business_Mir,21 мар. 2020 г.,"#Италия перешагнула рубеж в 4000 умерших от #COVID19. В #Бергамо умерла 60-летняя гражданка #Украина и 38-летний #итальянец, ставший нулевым пациентом. #коронавирус #CoronaVirusitaly ",#covid #covid19 #коронавирус
KupetZ,@kupets23,21 мар. 2020 г.,Местные в Буэнос-Айресе шутят по поводу соблюдения карантина. ,
БЕЛТА,@beltanews,21 мар. 2020 г.,,
Мир 24,@Mir24TV,21 мар. 2020 г.,В Узбекистане запретили свадьбы и поминки с большим количеством людей. Ранее страна временно прекратила транспортное сообщение с другими государствами,
Центр ПРИСП,@prispinfo,21 мар. 2020 г.,На жительницу Липецка подали в суд за фейки о коронавирусе,
Cобытия дня в России,@smnewsru,21 мар. 2020 г.,Россиянам посоветовали не ездить в Мексику из-за распространения коронавируса,
Харків Times (Kharkiv Times),@KharkivTimes,21 мар. 2020 г.,Подтвержден диагноз COVID-19 у первой жительницы Харьковской области. https://times.kharkiv.ua/2020/03/20/podtverzhden-diagnoz-covid-19-u-pervoj-zhitelnitsy-harkovskoj-oblasti/…,
Илья Кабанов,@eliakabanov,21 мар. 2020 г.,Как ученые работают над вакциной против COVID-19,
MIGnews,@mignewsfeed,21 мар. 2020 г.,В РФ девять пациентов победили COVID-19:,
Елена Воронина,@Vronin3,21 мар. 2020 г.,Эксперт открыл главную тайну COVID-19: США запатентовали коронавирус ещё в 2015 | InfoRuss,
Андрей timeoftheox,@OxTimeofthe,21 мар. 2020 г.,"Как педиатр может работать над вакциной? Это все равно, что окулист будет вам делать УЗИ брюшной полости или я уже отстал от жизни? ",
Asteroid Belt,@Aster0id_Be1t,21 мар. 2020 г.,Премьер-министр Японии исключил проведение Олимпиады без зрителей.,
Денис Добровольский,@Denis_GAN,21 мар. 2020 г.,В ответ ,
Горячая линия ДНР,@HotlineDNR,21 мар. 2020 г.,Открытым текстом 20.03.2020,
ZdravMedInfo,@ZdravMedInfo,21 мар. 2020 г.,Российские тесты на COVID-19 представят на государственную регистрацию http://zdravmedinfo.com/pharmnews.html?article=135355… #новости #фармация,
UKR Tennis Portal,@Tennis_UKR,21 мар. 2020 г.,Серена Вильямс: Теперь все сводит меня с ума #WTA #коронавирус #СеренаВильямс http://tennisua.org/serena-vilyams-teper-vse-svodit-menya-s-uma/?utm_campaign=serena-vilyams-teper-vse-svodit-menya-s-uma&utm_medium=twitter&utm_source=twitter…,#коронавирус
Alex Golubev,@AlexGolubev12,21 мар. 2020 г.,Мишустин заявил о шести разработанных в РФ вакцинах от COVID-19 https://interfax.ru/russia/700160,
Consulate General of Russia in New York,@rcgnewyork,21 мар. 2020 г.,О мерах руководства штата Нью-Йорк по борьбе с распространением коронавируса,
Все на сайт,@vsenasite,21 мар. 2020 г.,"Так бы выглядели #логотипы известных нам компаний, если бы они были на #карантине #COVID19  #коронавирус #pandemia",#covid #covid19 #коронавирус
RFI на русском,@RFI_Ru,21 мар. 2020 г.,COVID-19: Во Франции от коронавируса с начала эпидемии скончались 450 человек https://rfi.my/5aha.t,
ПРЕДПЕНСИОНЕР,@NAIL_Captain,21 мар. 2020 г.,"Это обычное инф.заболевание, просто пока с недоказанными по своей эффективности методиками лечения, так как оно выявлено недавно. Статистика по смертности COVID-19 (около 4 процентов) хотя и примерно в 4 раза выше, чем у сезонного гриппа и его последствий, но не является какой-то",
AS74,@AS7404542949,21 мар. 2020 г.,"Со всем плохим что несет с собой #COVID19 есть один позитив. Это индикатор реакции на беду. Все видят то, как другие решают проблему. Перед вирусом все равны. Для него нет вертикалей власти. Косить будут и тех кто служит режимам и их родных. Может это что то изменит в их матрице?",#covid #covid19
Manana Sologashvili,@mananasolog,21 мар. 2020 г.,"Мы все можем внести вклад в то, чтобы замедлить распространение #коронавирус. Вы в деле? Присоединяйтесь к обещанию, чтобы спасти жизни людей!",#коронавирус
ГлавТвит,@GlavTW,21 мар. 2020 г.,Число заражённых коронавирусом в мире превысило 210 тысяч,
thesdstn,@thesdstn,21 мар. 2020 г.,мне на этот ваш #Covid_19  категорически похуй,#covid
X-VESTI,@X_VESTI,21 мар. 2020 г.,COVID-19: Операция По Захвату Земли Пришельцами Началась?,
Интерфакс,@interfax_news,21 мар. 2020 г.,"Свыше 12,5 тысячи случаев COVID-19 подтверждено во Франции http://amp.gs/0Pjo",
Проектное бюро [разработка ПОДД],@podd39,21 мар. 2020 г.,Безопасность каждого - общее дело ,
Диалог.UA,@Dialog_UA,21 мар. 2020 г.,Первый случай COVID-19 на Харьковщине - пандемия распространяется   https://dialog.ua/ukraine/203570_1584730897…,
UfospaceNET,@UfospaceNet,21 мар. 2020 г.,Исключена космическая версия происхождения коронавируса #коронавирус #космос https://ufospace.net/isklyuchena-kosmicheskaya-versiya-proishozhdeniya-koronavirusa…,#коронавирус
Телеканал Донбас,@kanaldonbass,21 мар. 2020 г.,В Донецкой области проверяют 7 больных с подозрением на COVID-19 #донбасс #новостидонбасса #donbasstv,
Maxir Nagdaliev,@MNagdaliev,21 мар. 2020 г.,Коронавирус COVID-19 https://news.mail.ru/story/incident/coronavirus/…,
Открытый телеканал,@opentvtv,21 мар. 2020 г.,Рыбы вернулись в Венецию https://youtu.be/k1RjZ8rW-0M #коронавирус #коронавирус_в_Италии #рыбы,#коронавирус
лучик),@olli_vake,21 мар. 2020 г.,Кто из какой страны?,
ПРЕДПЕНСИОНЕР,@NAIL_Captain,21 мар. 2020 г.,«Это самый обычный вирус»: начальник горздрава Казани о развернутой борьбе с COVID-19,
ДостройДолгострой,@dosrtroidolgos,21 мар. 2020 г.,Новая тайна Воробья раскрыта. #Россия #Russia #Подмосковье #нашеподмосковье #московскаяобласть #МО #COVID2019  #COVID19 #Corvid_19 #CoronaVirus #coronavirus #coronavirusawareness #КоронавирусТМ #коронавирус #карантин #АндрейВоробьев #губернаторАндрейВоробьев #Икея,#covid #covid19 #коронавирус
KoronaTime,@koronatimecom,21 мар. 2020 г.,#коронавирус #COVID-19 постепенно появляется в разных областях Украины,#covid #covid-19 #коронавирус
Ывгений,@x1gwH3Rnpe3F5BD,21 мар. 2020 г.,Шёл седьмой день карантина. ,
Zoya Kafka,@ZoyaKafka,21 мар. 2020 г., Италид аль сүүлд Ухань тэр чигтээ хаагдчихсан бхад вирус дэлгэрсэн биддэ #COVID19,#covid #covid19
ЛОСЬ,@cool_skittles,21 мар. 2020 г.,"ну, знаете, такое так себе заболевание. #Covid_19",#covid
Euronews на русском,@euronewsru,21 мар. 2020 г.,COVID-19: ЕС отменяет меры бюджетной экономии,
ZdravMedInfo,@ZdravMedInfo,21 мар. 2020 г.,Еврокомиссия выделяет компании CureVac 80 млн евро на разработку вакцины против COVID-19 http://zdravmedinfo.com/pharmnews.html?article=135326… #новости #фармация,
Jenkers News (RUS),@jenkers_ru,21 мар. 2020 г.,"Гели, мыло и маски: что поможет для профилактики #коронавирус'а? http://jenke.rs/Sc10Wr",#коронавирус
NormaJ,@galamm11,21 мар. 2020 г.,"Работать не хотят, зараза: во Франции могут выплатить по 1000 евро работающим во время COVID-19",
KoronaTime,@koronatimecom,21 мар. 2020 г.,Тем временем статистика на сейчас по #коронавирус #COVID-19 в мире. Следить в режиме онлайн - https://koronatime.com/statistika-rasprostranenija-koronavirusa-v-rossii-i-mire/…,#covid #covid-19 #коронавирус
cryptobeats,@fuckingtiraspol,21 мар. 2020 г.,"Четыре гражданина Молдовы, у которых диагностировали #коронавирус, недавно вернулись из Украины, куда ездили на экскурсию в монастырь. Ну как помолились?",#коронавирус
presshub_ru,@presshubeu,21 мар. 2020 г.,COVID-19  [rt]  #Оперштаб опроверг данные о смерти пациента с коронавирусом в  #Тюмени http://presshub.eu/ru/articledetails.aspx?aid=6639686&pg=1#presshubeu…,
Наталья,@Fenix_2403,21 мар. 2020 г.,"Вирусы, covid-19, пандемия... ",
рони,@vkrschn,21 мар. 2020 г.,Сосед моего мужика заболел коронавирусом.,
Интерфакс,@interfax_news,21 мар. 2020 г.,Премьер Польши объявил об эпидемии COVID-19 в стране http://amp.gs/0PI2,
Форпост Северо-Запад,@forpostsz,21 мар. 2020 г.,"#Новости #Общество Новые случаи COVID-19 в Петербурге выявили у туристов из США, Германии и Австрии",
SIght REAL,@real_sight,21 мар. 2020 г.,В Украине очередной прирост заразившихся коронавирусом COVID-19 - https://real-vin.com/v-ukraine-ocherednoj-prirost-zarazivshihsja-koronavirusom-covid-19…,
Nikolay Shmichkov,@malefictum,21 мар. 2020 г.,"Кто-то соблюдает карантин, а кому-то важна прибыль. ",
KupetZ,@kupets23,21 мар. 2020 г.,В ответ ,
Новая Газета,@novaya_gazeta,21 мар. 2020 г.,Московские лаборатории в тестовом режиме начнут проводить исследования на наличие в организме COVID-19 уже с 20 марта,
Stah Rozsoha,@ElturS,21 мар. 2020 г.,"Кажется, в Украине такая же ситуация. Очень интересная деловая тема. У нас на удаленку ушли многие. И знаю, у многих проблемы с оргтехникой, поскольку смартфоны были больше востребованы. #карантин #удаленка #коронавирус #COVID",#covid #коронавирус
itbusiness,@itbusinesscom,21 мар. 2020 г.,"Серия iPhone 12 все еще идет по графику, несмотря на пандемию COVID-19 - https://itbusiness.com.ua/hardnews/obzory-mobilnyh-gadzhetov/19147-seriya-iphone-12-vse-eshhe-idet-po-grafiku-nesmotrya-na-pandemiyu-covid-19.html…",
Max Ershov,@MaksksE,21 мар. 2020 г.,17 из #100ДнейКода,
Bengoshi,@ua_bengoshi,21 мар. 2020 г.,"сміюсь, але от ще з гуглу за  2000 рік: ""Скоро придет в мир древнейшее учение. Меня спрашивают: «Скоро ли придет это время?» Нет, не скоро. Еще Сирия не пала!"". #Covid_19 #пророцтва #коронавірус",#covid
Alexa,@alexa___1188,21 мар. 2020 г.,"Карантин-не лучшее,что может случиться, но,честно,надоело бесконечное нытье про то,как неудобно работать из дома,как скучно,как прожить без футбола и т.п.:из одной только туалетной бумаги столько всего интересного можно сделать, вы что зря ее скупали?",
KupetZ,@kupets23,21 мар. 2020 г.,"Правительство Буэнос-Айреса просит сообщать о нарушителях карантина, но наши соотечественники считают это не проявлением гражданской позиции, а СТУКАЧЕСТВОМ.",
