Имя пользователя,Ссылка,Время,Текст,Хэштеги
Iva,@IvaMartiskainen,21 апр. 2020 г.,"4) Новое исследование, проведенное учеными из Школы общественного здравоохранения имени Джона Хопкинса, показывает, что среднее время появления симптомов составляет около пяти дней. Также возможно иметь COVID-19 с минимальными или вообще без симптомов.",
Iva,@IvaMartiskainen,21 апр. 2020 г.,"3) - поверхностное дыхание, проблемы с дыханием",
Iva,@IvaMartiskainen,21 апр. 2020 г.,"1) для тех, кому интересно, я публикую информацию, доступную на сайте Johns Hopkins Bloomberg school of public health касательно симптомов #COVID19 ",#covid #covid19
Misha Komadovsky,@komadovsky,21 апр. 2020 г.,"В рабочей группе по борьбе с коронавирусом в США говорят, что ",
Коммерсантъ Политика,@kmrspolitics,21 апр. 2020 г.,"20 апреля президент России Владимир Путин провел совещание, посвященное санитарно-эпидемиологической обстановке в стране. На нем сначала выяснилось, что в ближайшее время вакцина против COVID-19 не появится.",
24topkz,@24topkz,21 апр. 2020 г.,В Россельхознадзоре напомнили о риске передачи COVID-19 от кошки кошке http://24top.kz/society/v-rosselhoznadzore-napomnili-o-riske-peredachi-covid-19-ot-koshki-koshke/…,
Вэл Коп,@Vel_Kop,21 апр. 2020 г.,Блокбастер мирового закулисья: «Тесты на COVID-19 оказались заражены!» | InfoRuss https://inforuss.info/blokbaster-mirovogo-zakulisya/?_utl_t=tw…,
Bentli,@Bentli39669689,21 апр. 2020 г.,В ответ ,
Артем Обычный,@Archilive13,21 апр. 2020 г.,"Мне кажется если щас еще больше упадет цена за барель, Росия будет сасать, COVID-19 ебанет 1/3 населения, кризис, гражданская разруха, будем есть богатых  ",
Misha Komadovsky,@komadovsky,21 апр. 2020 г.,"Вице-президент Пенс говорит, что у США есть достаточно возможностей для тестирования на коронавирус, чтобы начать первую фазу открытия экономики. ",
Вадим Петряев,@vadila87,21 апр. 2020 г.,"#карантин да #подушкачеллендж  сорян, без пояска... А если быть честным, заебалось сидеть дома!  #pillowchallenge #stayhome #covid19 @ Moscow, Russia https://instagram.com/p/B_OFS5_DvBk/?igshid=9j6zn5p4uzo…",#covid #covid19
Bentli,@Bentli39669689,21 апр. 2020 г.,"Дыма без огня не бывает.На Рация 6 Сентября 2019 г. в НОВОСИБИРСКЕ  лаболатории разработки COVID 19 произошол взрыв,в то время была там делегация с Китая города Ухань.100 % этот вирус произошол с на РАЦИЯ да же к маме не ходи.",
Kratko-News.com,@kratkonewscom,21 апр. 2020 г.,21/04/2020 Губернатор Севастополя обнародовал ужасающий вид легких первого зараженного COVID-19 Краткие новости https://kratko-news.com/2020/04/21/gubernator-sevastopolya-obnarodoval-uzhasayushhij-vid-legkix-pervogo-zarazhennogo-covid-19/…,
Известия,@izvestia_ru,21 апр. 2020 г.,,
Говорящие новости,@NSN_fm,21 апр. 2020 г.,"В России упростили беспошлинный ввоз на медицинские товары, предназначенные для борьбы с коронавирусом COVID-19",
KOLYMAWEB,@kolymaweb,21 апр. 2020 г.,Компания «Полюс» продолжает реализовывать мероприятия для предотвращения распространения COVID-19 на территории Магаданской области,
Медоед,@arhaim1,21 апр. 2020 г.,В ответ ,
Dr. Elena Mikhailova,@ElenaMikhailova,21 апр. 2020 г.,"В Канаде ищут доноров плазмы переболевших #COVID19 , сообщает ",#covid #covid19
Баба Яга Сергеевна,@YuliaRakov,21 апр. 2020 г.,В ответ ,
КАТЕРИНА,@C5eGZBiicZ3xe4g,21 апр. 2020 г.,"Меркель опасается, что граждане ФРГ перестанут выполнять требования властей по COVID-19 https://polit.info/492976-merkel-opasaetsya-chto-grazhdane-frg-perestanut-vypolnyat-trebovaniya-vlastei-po-covid-19?utm_medium=email&utm_source=UniSender&utm_campaign=231840781#.Xp4jtewpU7k.twitter…",
Левон Гнуни,@levongnuni1,21 апр. 2020 г.,Немецкие ученые о COVID-19. Крематории в  Китае. https://youtu.be/10mR_5qXCYU с помощью ,
Горячая линия ДНР,@HotlineDNR,21 апр. 2020 г.,РФ доставила из КНР в Молдавию медоборудование для борьбы с COVID-19,
Сатико,@ksatico,21 апр. 2020 г.,Итоги 19 и 20 апреля,
Maks Довгер,@NonoOndajoven,21 апр. 2020 г.,В России клинические испытания вакцины от COVID-19 начнут в июне,
КАТЕРИНА,@C5eGZBiicZ3xe4g,21 апр. 2020 г.,Глава Минздрава РФ высоко оценил эффективность самоизоляции на фоне COVID-19 https://polit.info/492965-glava-minzdrava-rf-vysoko-ocenil-effektivnost-samoizolyacii-na-fone-covid-19?utm_medium=email&utm_source=UniSender&utm_campaign=231840781#.Xp4jRNwFsK4.twitter…,
марта янич,@1015_ast,21 апр. 2020 г.,Блокбастер мирового закулисья: «Тесты на COVID-19 оказались заражены!»,
real Anarchist,@veganarch,21 апр. 2020 г.,В ответ ,
otto UKROP,@OttoHammond,21 апр. 2020 г.,Врач из Израиля назвал главную причину заражения медиков COVID-19 •  #Україна  http://antikor.com.ua/articles/374584-vrach_iz_izrailja_nazval_glavnuju_prichinu_zarahenija_medikov_covid-19…,
о'Yuna,@Yuna318,21 апр. 2020 г.,"500 дахь дагагчтайгаа coffee уунаа гэдэг бол би  500 дагагчтайгаа уух байсын, даанч covid 19 гээд ... хуулиа л дагахаас ...",
CryptoWiki,@wiki_crypto,21 апр. 2020 г.,Блокчейн в борьбе с пандемией COVID-19 и другие инициативы с использованием технологии https://cryptowiki.ru/article/blokchein-v-borbe-s-pandemiei-covid-19-i-drygie-iniciativy-s-ispolzovaniem-tehnologii.html…,
Zloy Enot,@Zloy_Enot_777,21 апр. 2020 г.,Коронавирус COVID-19: главные события 20 апреля http://coronaviruse.ru/%d0%ba%d0%be%d1%80%d0%be%d0%bd%d0%b0%d0%b2%d0%b8%d1%80%d1%83%d1%81-covid-19-%d0%b3%d0%bb%d0%b0%d0%b2%d0%bd%d1%8b%d0%b5-%d1%81%d0%be%d0%b1%d1%8b%d1%82%d0%b8%d1%8f-20-%d0%b0%d0%bf%d1%80%d0%b5%d0%bb/…,
IBTimes.ru,@IbtimesRUS,21 апр. 2020 г.,Адвокат летчика Ярошенко сообщил о смерти его сокамерника от COVID-19 :: Политика :: РБК,
Vegatur,@vegatur1,21 апр. 2020 г.,"Кума с ВОЗа, миру легче",
Ольга (OLXO),@olxo2013,21 апр. 2020 г.,"В ВШЭ заявили об ""удивительном"" уровне смертности от COVID-19 в России: https://ria.ru/20200421/1570324324.html…",
ИА REGNUM,@IA_REGNUM,21 апр. 2020 г.,В Марокко выявили за сутки 191 случай заболевания COVID-19 https://regnum.ru/news/2923195,
Hakimiyyət qəzeti,@Hakimiyetqazeti,21 апр. 2020 г.,В Москве скончались 29 пациентов с коронавирусом — Российская газетаВ Москве скончались 29 пациентов с коронавирусом. Об этом сообщает оперативный штаб по контролю и мониторингу ситуации с COVID-19. У всех была пневмония и положительный результат тесто...,
strelkov_maxim81,@SMaxim81,21 апр. 2020 г.,Закрытие многих агентств недвижимости и снижение цен на жилье прогнозируют в Испании. https://zen.yandex.ru/media/id/5da233301ee34f7325299b2c/zakrytie-mnogih-agentstv-nedvijimosti-i-snijenie-cen-na-jile-prognoziruiut-v-ispanii-5e9daf4d0596fe5c972fda5d…,
FinancerRU,@FinancerRussia,21 апр. 2020 г.,Собрали всю информацию о материальной помощи и льготах на весну/лето 2020 года.,
Kartridg MSK,@KartridgMsk,21 апр. 2020 г.,"Компания Ricoh Company, Ltd особенно внимательно следит за ситуацией, касающейся распространения коронавируса (Covid-19).",
TOP Studio,@topstud_io,21 апр. 2020 г.,Динамика e-commerce рынка в период массовой самоизоляции,
Fox,@Fox04208261,21 апр. 2020 г.,Одно я вам могу сказать точно: ,
Сергей Трик,@ProstoTric,21 апр. 2020 г.,"Как показывают события, человечество должно пересмотреть отношение к мировой экономической и политической системам. Как варик социализм (здорового человека) или технократия. В ином случае нас ждёт участь динозавров...",
otto UKROP,@OttoHammond,21 апр. 2020 г.,"На утро 20 апреля зафиксирован 261 новый случай COVID-19 в Украине, всего - 5710, умерли 151 человек, 359 - выздоровели, - Минздрав #Україна https://censor.net.ua/n3190160",
Misha Komadovsky,@komadovsky,21 апр. 2020 г.,"Трамп подчеркивает, что показатели по количеству проведенных тестов удваиваются с каждой неделей. Демонстрирует список мест, где можно сдать анализ на коронавирус. Их, говорит Трамп, 5 тысяч.",
otto UKROP,@OttoHammond,21 апр. 2020 г.,"На утро 20 апреля зафиксирован 261 новый случай COVID-19 в Украине, всего - 5710, умерли 151 человек, 359 - выздоровели, - Минздрав https://censor.net.ua/n3190160",
Новости УрФО,@naUrFOru,21 апр. 2020 г.,"Центр реабилитации на Смолино превратили во временный обсерватор по COVID-19 | Новости УрФО, Челябинск http://naurfo.ru/news/53468",
Checheninfo,@Checheninfo,21 апр. 2020 г.,ЧЕЧНЯ. Кадыров проведал больных COVID-19.,
01eg (Запасний) ХронікаНашогоПиzдецю,@080301eg,21 апр. 2020 г.,Во Львовской области обнаружили уже 253 случая COVID-19,
TOP Studio,@topstud_io,21 апр. 2020 г.,Треть пользовательской аудитории ждёт позитива от рекламы в период пандемии,
GV по-русски,@gvrussian,21 апр. 2020 г.,Дневники COVID-19 из Уханя: ограничения ужесточаются https://ift.tt/3al73M1,
Арт Стекло,@Ceramdec,21 апр. 2020 г.,Немецкая Бундеслига может возобновиться уже 9 мая,
TOP Studio,@topstud_io,21 апр. 2020 г.,Из-за Covid-19 популярность Telegram значительно возросла,
Кавказский Узел,@caucasianknot,21 апр. 2020 г.,#Новоевблоге: #Митинг во Владикавказе и параллель с Степанакертом.,
ТетянаЧорна,@chernayaT_3,21 апр. 2020 г.,В ответ ,
RusDozorRu,@rusdozor_ru,21 апр. 2020 г.,"В Ровенской области коронавирус повторно выявили у пациентов, готовившихся к выписке",
Новости NewsTes,@xpshiscoa,21 апр. 2020 г.,"В ВШЭ заявили об ""удивительном"" уровне смертности от COVID-19 в России  https://newstes.ru/2020/04/21/v-vshje-zajavili-ob-udivitelnom-urovne-smertnosti-ot-covid-19-v-rossii.html…",
LVPapy,@LVPapy,21 апр. 2020 г.,"И правильно говорил #Президент #РФ в обращении..нужно свой путь и выход из #COVID19 искать и находить..вырабатывать ..наверное путём ..и мнения умнейших людей, докторов, вирусологов..Ведь и доктор Рошаль говорит многое и важное.чтобы снизить отрицательные последствия максимально.",#covid #covid19
Tursunbay Bakir uulu,@bakiruulu,21 апр. 2020 г.,Ударим юмором по #coronavirus !,
Белновости,@BelnovostiBy,21 апр. 2020 г.,Коронавирус COVID-19. Последние новости на 21 апреля 00:00,
Московский Комсомолец,@mkomsomolets,21 апр. 2020 г.,Скворцова объяснила выявление 6 тыс. случаев заражения COVID-19 за день https://mk.ru/social/2020/04/21/skvorcova-obyasnila-vyyavlenie-6-tys-sluchaev-zarazheniya-covid19-za-den.html…,
Москва 24,@infomoscow24,21 апр. 2020 г.,,
A.Ponukalov,@APonukalov,21 апр. 2020 г.,Деятельность российской разведки в Италии оплатили итальянские налогоплательщики https://zloy-odessit.livejournal.com/3122031.html?utm_source=twsharing&utm_medium=social… #коронавирус #Россия #Италия,#коронавирус
Maxim It’s me,@Marijuana5,21 апр. 2020 г.,Реассортация — Википедия | #Вирусы #Наука #Вирусология #Коронавирус #Генетика #ДНК   https://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D0%B0%D1%81%D1%81%D0%BE%D1%80%D1%82%D0%B0%D1%86%D0%B8%D1%8F…,#коронавирус
MIGnews,@mignewsfeed,21 апр. 2020 г.,"""Стражи галактики 3"" не будут переносить из-за COVID-19:",
A.Ponukalov,@APonukalov,21 апр. 2020 г.,Пасхальный шабаш Московского патриархата или про террористов в рясах https://zloy-odessit.livejournal.com/3121763.html?utm_source=twsharing&utm_medium=social… #коронавирус #РПЦ #Украина #терроризм,#коронавирус
ACHTUNG PARTISANEN,@EuropeanFront,21 апр. 2020 г.,"В ВШЭ заявили об ""удивительном"" уровне смертности от COVID-19 в России https://achtungpartisanen.ru/v-vshe-zayavili-ob-udivitelnom-urovne-smertnosti-ot-covid-19-v-rossii/…",
Денис,@mTMhZgUKC733pcI,21 апр. 2020 г.,#ОСЕТИЯ. МИТИНГ. #КОРОНАВИРУС В РОССИИ 20.04.2020 https://youtu.be/FYyJrs0XjJw с помощью ,#коронавирус
И.В.,@iralexvoin,21 апр. 2020 г.,"COVID-19. Известный пульмонолог  А.В.Аверьянов: ""С таким мы не сталкивались"". https://youtu.be/IPkA_4eSUHM с помощью ",
НЕТ ВОЙНЕ SCIENCE CLUB За свободу Навального!,@SCIENCE_CLUB_RU,21 апр. 2020 г.,Качество путенского гос.управления по борьбе с эпидемией COVID-19 - в Ростове путенизм ввел новые пропуска и установил три дня на их получение. Народ ринулся к местам выдачи: https://twitter.com/Smopuim_81/status/1252228637773852677/video/1…,
Виталий Попов,@noiron4,21 апр. 2020 г.,Назван главный способ подхватить COVID-19: общественные места ни при чем:,
Алексей Пушков,@Alexey_Pushkov,21 апр. 2020 г.,"19 апреля американская газета «Бостон глоб» опубликовала 16 страниц (!) некрологов о людях, умерших из-за Covid-19. И ещё находятся такие, кто утверждает, что эпидемия чуть ли не выдумана. Опомнитесь.",
Ирина Борисова,@fapedcong90,21 апр. 2020 г.,Россиянам назвали главное условие при лечении тяжелой формы COVID-19,
Батмөнхийн ЭНХБАЯР,@EnkhbayarBA,21 апр. 2020 г.,"Капитализм-н түүхэнд ийм зүйл болоогүй бх. #COVID19 -н хөлхорио г.тосны эрэлтийг ↓, үнэ “шалдаа буув”. Өнөө өглөө 5сард хүргэх WTI -н 2дахь өдөр дуусах гэрээ 100гаруй %↓,торх нь - $37.63 блв. Энэ нь худалдагч гэрээгээр г.тосоо хүргээд мөнгө авах биш худ.авагчид $ төлнө гсн үг",#covid #covid19
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,#Меркель: ситуация с #коронавирус'ом в Германии обманчива http://jenke.rs/b9Z3Kw,#коронавирус
Misha Komadovsky,@komadovsky,21 апр. 2020 г.,"Президент Трамп начинает пресс-конференцию словами о том, что некоторые штаты готовы к открытию своей экономики. Но предупреждает, что люди должны быть бдительными и продолжать следовать строгим правилам гигиены.",
coronavirus-m.ru,@ru_coronavirus,21 апр. 2020 г.,Роспотребнадзор рекомендовал ограничить число находящихся в помещении работников для борьбы с распространением коронавирусной инфекции COVID-19.,
coronavirus-m.ru,@ru_coronavirus,21 апр. 2020 г.,"Врач и официальный представитель информационного центра по мониторингу ситуации с COVID-19 Александр Мясников рассказал, что переболел коронавирусной инфекцией. Это заявление он сделал в эфире телеканала ""Россия 1"".",
Тарку Басханов,@btarku1,21 апр. 2020 г.,Правда о Covid 19 | Итоги недели с Денисом Ганичем 20.04.20 https://youtu.be/Su_ibnx8ih0 с помощью ,
Mejidov,@Mejidov2014,21 апр. 2020 г.,В ответ ,
Радио ВОС,@radio_vos,21 апр. 2020 г.,В выпуске новостей за 21 апреля 2020 года https://radiovos.livejournal.com/2371215.html #Коронавирус #Биологи #СидимДома #Благотворительность #ВОС #Сетчатка,#коронавирус
ACHTUNG PARTISANEN,@EuropeanFront,21 апр. 2020 г.,Семь сотрудников саровского ядерного центра заболели COVID-19 https://achtungpartisanen.ru/sem-sotrudnikov-sarovskogo-yadernogo-tsentra-zaboleli-covid-19/…,
Крепостное право,@serfage,21 апр. 2020 г.,Девять с половиной законов коронавируса. Как изменит нашу жизнь пандемия COVID-19 - Фонтанка.Ру,
Тимофей Изгагин,@TimaIzgagin,21 апр. 2020 г.,В Facebook разработали карту с данными людей с подозрением на COVID-19,
Портал АНТИКОР,@antikorua,21 апр. 2020 г.,Том Хэнкс рассказал о симптомах Covid-19 после трех недель лечения • Портал АНТИКОР https://antikor.com.ua/articles/374594-tom_henks_rasskazal_o_simptomah_covid-19_posle_treh_nedelj_lechenija…,
А В Блинков,@uloAltman,21 апр. 2020 г.,В Facebook разработали карту с данными людей с подозрением на COVID-19,
Городской портал Kursk.com,@kurskcom,21 апр. 2020 г.,В Белгородской области расширилась площадь распространения CoViD-19  http://kursk.com/news/blackearth/46432.html…,
«Столица С» Саранск,@stolica_s,21 апр. 2020 г.,Мать сдала сына с covid-19 полиции за нарушение карантина,
Alex Ivanov,@Alexfly35,21 апр. 2020 г.,Какой-то бизджет с американской регистрацией N84UP (Aviation Bridge LLC) снижается в Москву из Тель-Авива . На Радарбоксе номер заблочен (BLOCKED) #N84UP #bizjets #COVID19 https://flightradar24.com/H25B/24623cc7,#covid #covid19
InterMax,@IntermaxFun,21 апр. 2020 г.,44 новых случая инфицирования коронавирусом COVID-19  зафиксировали в Житомирской области – глава ОГА https://intermax.fun/44-novyh-sluchaya-inficzirovaniya-koronavirusom-covid-19-zafiksirovali-v-zhitomirskoj-oblasti-glava-oga/…,
Геннадий Закупнев,@Zakupnev87,21 апр. 2020 г.,Карта распространения COVID-19 в Коми на 20 апреля,
#necro_tv,@tvnecro,21 апр. 2020 г.,"Петербург, апрель 2020, COVID-19",
Капитан Панда,@kapitan_panda,21 апр. 2020 г.,Тем временем появились платные туалеты. От 3 до 50 базовых. ,
Ivan Chebotar,@103ivan,21 апр. 2020 г.,"highly recommend... а а-а-а, COVID-19 наносит ещё один удар...  съёмки 4-го сезона остановлены!!! Выход переносится на  2021г.https://youtu.be/8RefWV9yQek",
ЕВРОНОВОСТИ ИЗ МИНСКА,@europatv_news,21 апр. 2020 г.,"FAKE NEWS: Беларусскому интернет-сми вынесли предупреждение за недостоверную информацию о ""коронавирусе"" #Евроновости #Fakenews #Беларусь #Фейки #СМИ #Здоровье #Лукашенко #Belarus #Covid19 #Lukashenko #Fakes  https://naviny.by/new/20200420/1587404778-mininform-potreboval-ot-nnby-ustranit-nedostovernuyu-informaciyu…",#covid #covid19
Новини України/Новости Украины,@InfoProstirUA,21 апр. 2020 г.,Не только сухой кашель: медик озвучил новый симптом коронавируса,
Портал АНТИКОР,@antikorua,21 апр. 2020 г.,Меркель заявила об угрозе второй волны COVID-19 после ослабления карантина • Портал АНТИКОР https://antikor.com.ua/articles/374592-merkelj_zajavila_ob_ugroze_vtoroj_volny_covid-19_posle_oslablenija_karantina…,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,Банки РФ оказались лучше зарубежных готовы к #коронавирус'у по цифровизации - BCG http://jenke.rs/Xs80Jb,#коронавирус
#necro_tv,@tvnecro,21 апр. 2020 г.,Ежегодный фестиваль пива #Октоберфест отменён в 2020 году из-за пандемии #коронавирус'а.,#коронавирус
Кавказский Узел,@caucasianknot,21 апр. 2020 г.,Дагестанкие правозащитники объявили сбор на средства защиты для врачей.,
Первый Крымский,@the1ru,21 апр. 2020 г.,Больница в Крыму выходит из обсервации: никто не заболел https://firstcrimean.ru/news/krym/127057-bolnica-v-krymu-vyhodit-iz-observacii-nikto-ne-zabolel.html…,
RuNews24.ru Новости,@runews24ru,21 апр. 2020 г.,Глава ФМБА: Россия недалека от пика заболеваемости коронавирусом,
Jenkers News (RUS),@jenkers_ru,21 апр. 2020 г.,#Медведев обсудит с НКО меры антикризисной поддержки в условиях пандемии #COVID-19 http://jenke.rs/Aq6u0R,#covid #covid-19
richiclol,@richiclol,21 апр. 2020 г.,"#COVID19 #мечтыидиота #мысливслух Мы никогда не победим этот вирус, если страна будет против народа, а народ будет против страны. Для настоящей, быстрой победы, власть и общество должны объединиться и действовать как единое целое. Всем прийдётся пойти на уступки. Найти компромисс",#covid #covid19
Мир 24,@Mir24TV,21 апр. 2020 г.,Хирург Денис Кондратьев назвал условия смягчения режима самоизоляции в Москве.,
Said Musaev,@piligrim45,21 апр. 2020 г.,"Тем, кто не верить #коронавирус - https://instagram.com/tv/B_LFIfhIK7A/?igshid=on0jf70m86um… - #оставайсядома #COVID19",#covid #covid19 #коронавирус
RusDozorRu,@rusdozor_ru,21 апр. 2020 г.,«Это еще даже не начало». Вирусолог считает целесообразным два года карантина на Украине,
alla platon,@alla_platon,21 апр. 2020 г.,Профессор РАН описал сценарий искусственного происхождения COVID-19,
Мир 24,@Mir24TV,21 апр. 2020 г.,"Владимир #Семашко: Потерявшие работу из-за пандемии в посольство не обращались. Чрезвычайный и полномочный посол Беларуси в России рассказал, кто может рассчитывать на помощь дипломатов в период пандемии.",
HBR Россия,@HBR_Russia,21 апр. 2020 г.,"Как американские врачи борются с Covid-19? Рассказывает реаниматолог нью-йоркской больницы Эльмхерст, расположенной в «эпицентре внутри эпицентра» эпидемии",
